id,confidence,score,title,publisher,url,description,reasons
r-1547,high,15,Microsoft MakeCode for micro:bit — Courses Library,Interactive & Block-Based Coding Platforms,https://makecode.microbit.org/courses,Collection of guided MakeCode courses (including a 14-week computer-science sequence for Grades 6-8) that map to Ontario's intermediate coding progression.,title_strong:course; title_strong:courses; title_strong:library; url_shallow:/courses; url_strong:/courses; desc_phrase:collection of
r-1595,high,12,CEMC's Open Courseware — Geometry Units (Grades 7 & 8),Ontario-Aligned Platforms & Publishers,https://www.cemc.uwaterloo.ca/open-courseware-math-courses,CEMC's university-developed geometry courses with rigorous problem sets and video explanations.,title_strong:unit; title_strong:units; title_strong:course; url_shallow:/open-courseware-math-courses; many_expectations:n=4
r-2237,high,11,Codecademy — Interactive Coding Courses,Online Platform,https://www.codecademy.com,Interactive platform dedicated to teaching coding and practical programming. Students write actual code directly in the browser. Offers structured pathways from basics through advanced topics. Supports development of computational thinking (Strand A).,title_strong:course; title_strong:courses; url_root:/; desc_phrase:browse
r-1399,high,11,Desmos Classroom — Math 8 Unit 09: Scatter Plots & Data Analysis (Collection),"Interactive Platforms — Desmos, GeoGebra, PhET, Polypad",https://teacher.desmos.com/collection/5efa510ae6300668e6abf021,A teacher-curated unit-length collection of Desmos scatter plot and data analysis activities for Grade 8. Provides a ready-made digital sequence covering the heart of the Grade 8 D1 expectations.,title_strong:collection; title_strong:unit; url_strong:/collection; desc_phrase:collection of; many_expectations:n=5
r-1984,high,11,JensenMath — Grade 9 MTH1W Course Hub,Free Interactive and Video Lesson Platforms,https://www.jensenmath.ca/,"Veteran Ontario teacher Jensen's free MTH1W resource hub with unit-by-unit handwritten notes, worked examples, worksheets with full solutions, and over 200 YouTube lesson videos directly aligned to MTH1W expectations.",title_strong:course; title_strong:hub; url_root:/; url_trailing_slash:/; many_expectations:n=4
r-1977,high,11,Ontario Curriculum — MTH1W: Curriculum and Resources (Strands index),Official Ontario Curriculum and Ministry Pages,https://www.dcp.edu.gov.on.ca/en/curriculum/secondary-mathematics/courses/mth1w/strands,"Ministry index page linking to each MTH1W strand (A–F) with the verbatim overall expectations, key concepts, and teacher prompts. The most efficient single-page entry point into the de-streamed course expectations.",title_strong:curriculum; title_strong:index; title_weak:resources; url_strong:/courses; many_expectations:n=6
r-1886,high,11,SciTechOntario — Ontario Elementary Science Curriculum Hub,Ontario-Aligned Platforms,https://scitechontario.ca/,"Free Ontario-focused portal with lesson plans for each grade, long-range plans, coding integration, and webinars for teachers. Ontario-curriculum aligned.",title_strong:curriculum; title_strong:hub; url_root:/; url_trailing_slash:/; many_expectations:n=4
r-1384,high,10,Amplify Desmos Math Curriculum — Geometry & Measurement Units,Interactive Visualization & Dynamic Geometry Platforms,https://amplify.com/programs/amplify-desmos-math/,Problem-based curriculum with interactive Desmos activities embedded throughout. Includes complete geometry/measurement units designed to develop deep understanding of spatial relationships and measurement concepts.,title_strong:unit; title_strong:units; title_strong:curriculum; url_trailing_slash:/
r-1868,high,10,CEMC Open Courseware — Grades 7 & 8 Mathematics (Patterns Unit),Free Interactive Platforms,https://courseware.cemc.uwaterloo.ca/27?gid=69,"University of Waterloo CEMC's free open courseware covering all 7–8 patterning topics including sequences, equivalent expressions for general terms, equations, decreasing and naturally occurring sequences. Includes lessons, interactive activities, and practice — no registration required.",title_strong:unit; title_strong:course; url_shallow:/27; desc_phrase:includes lessons
r-1246,high,10,Data Literacy Unit — Grade 7 Ontario Curriculum (My Call to Teach),Teaching Units & Lesson Plans,https://mycalltoteach.com/collections/grade-7/products/grade-7-new-ontario-math-data-literacy-digital-slides,"Complete Data Literacy (D1) unit for Grade 7 with digital slides, editable worksheets, practice activities, and assessments covering data collection, representation, and analysis.",title_strong:unit; title_strong:curriculum; url_strong:/collection; url_strong:/collections
r-2037,high,10,Library and Archives Canada — Immigration Records Hub,Government Archives and Primary Source Records,https://www.canada.ca/en/library-archives/collection/research-help/genealogy-family-history/immigration.html,"Library and Archives Canada gateway to immigration records including passenger lists, border entries, and naturalization records — primary sources usable for student case-study research on migration to Canada.",title_strong:library; title_strong:hub; url_strong:/collection; url_strong:/library
r-7,high,10,Probability Games Collection,Probability Games,https://www.probabilitygames.org/,"Curated collection of online probability games and activities. Includes spinners, dice games, card activities, and marble probability experiments.",title_strong:collection; title_weak:games; url_root:/; url_trailing_slash:/; desc_phrase:collection of
r-1962,high,10,Resources for Rethinking (R4R) — Curriculum-Matched Database Home,"Climate Change & ""Changing World"" Inquiry Resources",https://resources4rethinking.ca/,"Free searchable database of teacher-reviewed sustainability resources matched to Ontario curriculum expectations — filter by grade, subject, and topic for Strand B alignment.",title_strong:curriculum; title_weak:resources; url_root:/; url_trailing_slash:/; desc_phrase:filter by
r-2006,high,10,SciTechOntario — Ontario Elementary Science Curriculum Hub,Ontario-Aligned Platforms,https://scitechontario.ca/grade-8/,"Joint STAO/OCTE/ACSE project providing Grade-8-specific lesson plans, long-range plans, and webinars for the 2022 curriculum. The Grade 8 sub-page surfaces curriculum-specific learning experiences for Strand B Cells.",title_strong:curriculum; title_strong:hub; url_shallow:/grade-8/; url_trailing_slash:/; many_expectations:n=4
